Start_Station,TotalDuration,Average_Duration,Total_Rides,
Mezes,80757,678.6302521008404,119,
Japantown,1015305,1074.3968253968253,945,
Mezes Park,1656,236.57142857142858,7,
MLK Library,713500,1132.5396825396826,630,
Ryland Park,998510,1135.9613196814562,879,
2nd at Folsom,3803209,509.54032690246515,7464,
5th at Howard,3804074,699.7928623988226,5436,
Howard at 2nd,4637885,611.6161149940657,7583,
Market at 4th,7677041,1046.3460542456044,7337,
Park at Olive,554335,2008.4601449275362,276,
St James Park,428396,617.2853025936599,694,
Start Station,,,0,
Market at 10th,7986819,803.7454966287612,9937,
Post at Kearny,3283625,755.2035418583257,4348,
2nd at Townsend,9460930,671.0355344350663,14099,
Beale at Market,5058619,686.100501831005,7373,
Clay at Battery,3738425,858.0273123708974,4357,
Kaiser Hospital,96809,658.5646258503401,147,
Spear at Folsom,3764288,736.2190494817132,5113,
Townsend at 7th,7026395,629.0416293643689,11170,
Adobe on Almaden,625577,792.873257287706,789,
Davis at Jackson,4430248,845.4671755725191,5240,
San Pedro Square,975618,802.9777777777778,1215,
Sequoia Hospital,24283,1618.8666666666666,15,
2nd at South Park,4328958,560.6006216006216,7722,
Franklin at Maple,11737,5868.5,2,
Market at Sansome,7829958,713.7609845031906,10970,
Steuart at Market,9931601,725.3049733440444,13693,
Powell Street BART,7699112,1127.9097568121888,6826,
San Jose City Hall,493802,953.2857142857143,518,
5th St at Folsom St,95997,554.8959537572255,173,
Golden Gate at Polk,3063814,925.9032940465397,3309,
San Salvador at 1st,891267,1650.4944444444445,540,
Cowper at University,740862,940.1802030456853,788,
Evelyn Park and Ride,51129,720.1267605633802,71,
Paseo de San Antonio,563695,676.7046818727491,833,
Washington at Kearny,2970054,1044.3227848101267,2844,
Embarcadero at Bryant,6204588,804.3282343790511,7714,
Embarcadero at Folsom,5296821,677.3428388746803,7820,
San Jose Civic Center,1256137,2313.327808471455,543,
Embarcadero at Sansome,15505894,1155.0874553039332,13424,
Embarcadero at Vallejo,5512574,1170.3978768577495,4710,
SJSU 4th at San Carlos,421223,1160.3939393939395,363,
Santa Clara at Almaden,999013,690.4029025570145,1447,
University and Emerson,2202620,4495.142857142857,490,
Mountain View City Hall,780056,604.2261812548412,1291,
San Francisco City Hall,3010663,1371.6004555808656,2195,
San Mateo County Center,95981,1116.0581395348838,86,
Arena Green / SAP Center,630281,1152.2504570383912,547,
Commercial at Montgomery,3379186,680.0535318977661,4969,
S. Market St at Park Ave,160116,1906.142857142857,84,
South Van Ness at Market,5716042,1058.9184883290106,5398,
Stanford in Redwood City,506670,1183.8084112149534,428,
Broadway St at Battery St,4048348,710.8600526777875,5695,
Palo Alto Caltrain Station,2117681,1809.9837606837607,1170,
SJSU - San Salvador at 9th,548489,1140.3097713097713,481,
5th S at E. San Salvador St,27897,1468.2631578947369,19,
Cyril Magnin St at Ellis St,179103,2595.695652173913,69,
Redwood City Medical Center,2349,469.8,5,
Redwood City Public Library,70801,1200.0169491525423,59,
San Antonio Shopping Center,411591,736.2987477638641,559,
5th St at E. San Salvador St,704,704.0,1,
San Antonio Caltrain Station,1138828,1863.8756137479543,611,
Powell at Post (Union Square),5739636,1278.885026737968,4488,
Redwood City Caltrain Station,872730,1255.726618705036,695,
Middlefield Light Rail Station,134588,2039.2121212121212,66,
Mountain View Caltrain Station,2254022,896.2314115308151,2515,
California Ave Caltrain Station,1036496,2644.122448979592,392,
Grant Avenue at Columbus Avenue,5204258,772.7183370452858,6735,
Santa Clara County Civic Center,461763,1099.4357142857143,420,
Castro Street and El Camino Real,729886,719.8086785009862,1014,
Civic Center BART (7th at Market),4717759,935.5064445766409,5043,
San Jose Diridon Caltrain Station,2629887,651.7687732342007,4035,
Mechanics Plaza (Market at Battery),4455498,793.7819347942277,5613,
Charleston Park/ North Bayshore Area,845360,2464.606413994169,343,
Harry Bridges Plaza (Ferry Building),17705382,1097.803943452381,16128,
Rengstorff Avenue / California Street,23254,553.6666666666666,42,
San Francisco Caltrain 2 (330 Townsend),14922282,667.4247249306736,22358,
San Francisco Caltrain (Townsend at 4th),17921322,759.6677546521979,23591,
Temporary Transbay Terminal (Howard at Beale),7894812,602.1517809472962,13111,
Yerba Buena Center of the Arts (3rd @ Howard),3358913,970.7841040462428,3460,
